"Order #","Purchased From (Store)","Purchased On","Bill to Name","Ship to Name","G.T. (Base)","G.T. (Purchased)",Status
000000055,"Main Website
   Madison Island
      English
","Feb 10, 2022 2:52:43 PM","Bob  Johnson","Bob  Johnson",$34.00,$34.00,Complete
000000276,"Main Website
   Madison Island
      English
","Feb 8, 2022 12:05:52 AM","Sarah  Miller","Sarah  Miller",$150.20,$150.20,Complete
000000119,"Main Website
   Madison Island
      English
","Feb 7, 2022 9:14:03 PM","Michael  Nguyen","Michael  Nguyen",$239.24,$239.24,Complete
000000231,"Main Website
   Madison Island
      English
","Feb 6, 2022 11:02:46 PM","Lisa  Kim","Lisa  Kim",$132.00,$132.00,Complete
000000037,"Main Website
   Madison Island
      English
","Feb 6, 2022 1:24:41 PM","David  Lee","David  Lee",$127.00,$127.00,Complete
000000013,"Main Website
   Madison Island
      English
","Feb 6, 2022 5:35:51 AM","Jason  Miller","Jason  Miller",$171.60,$171.60,Complete
000000033,"Main Website
   Madison Island
      English
","Feb 4, 2022 11:53:04 AM","Alex  Johnson","Alex  Johnson",$120.20,$120.20,Complete
000000285,"Main Website
   Madison Island
      English
","Feb 2, 2022 10:27:36 PM","Olivia  Lee","Olivia  Lee",$82.00,$82.00,Complete
000000189,"Main Website
   Madison Island
      English
","Feb 2, 2022 9:43:14 PM","Grace  Nguyen","Grace  Nguyen",$251.24,$251.24,Complete
000000173,"Main Website
   Madison Island
      English
","Feb 2, 2022 4:30:40 AM","Alex  Martin","Alex  Martin",$94.20,$94.20,Complete
000000120,"Main Website
   Madison Island
      English
","Feb 1, 2022 8:02:11 PM","Matt  Baker","Matt  Baker",$112.00,$112.00,Complete
000000048,"Main Website
   Madison Island
      English
","Jan 31, 2022 1:08:13 AM","Ava  Brown","Ava  Brown",$176.60,$176.60,Complete
000000183,"Main Website
   Madison Island
      English
","Jan 30, 2022 1:50:09 AM","Grace  Nguyen","Grace  Nguyen",$201.60,$201.60,Complete
000000243,"Main Website
   Madison Island
      English
","Jan 27, 2022 9:27:29 PM","Samantha  Jones","Samantha  Jones",$292.40,$292.40,Complete
000000038,"Main Website
   Madison Island
      English
","Jan 22, 2022 1:05:31 AM","Jason  Miller","Jason  Miller",$52.20,$52.20,Complete
000000238,"Main Website
   Madison Island
      English
","Jan 20, 2022 3:40:22 PM","Alex  Martin","Alex  Martin",$171.00,$171.00,Complete
000000213,"Main Website
   Madison Island
      English
","Jan 20, 2022 1:11:20 AM","Bob  Johnson","Bob  Johnson",$130.60,$130.60,Complete
000000222,"Main Website
   Madison Island
      English
","Jan 19, 2022 6:22:01 PM","Jane  Smith","Jane  Smith",$185.00,$185.00,Complete
000000194,"Main Website
   Madison Island
      English
","Jan 19, 2022 11:55:53 AM","David  Lee","David  Lee",$94.00,$94.00,Complete
000000121,"Main Website
   Madison Island
      English
","Jan 17, 2022 12:28:51 PM","Brian  Smith","Brian  Smith",$75.50,$75.50,Complete
000000082,"Main Website
   Madison Island
      English
","Jan 17, 2022 8:48:24 AM","Adam  Garcia","Adam  Garcia",$96.40,$96.40,Complete
000000015,"Main Website
   Madison Island
      English
","Jan 17, 2022 1:04:24 AM","Sarah  Miller","Sarah  Miller",$61.00,$61.00,Complete
000000137,"Main Website
   Madison Island
      English
","Jan 15, 2022 7:31:46 AM","Samantha  Jones","Samantha  Jones",$156.00,$156.00,Complete
000000247,"Main Website
   Madison Island
      English
","Jan 14, 2022 12:23:24 PM","Jane  Smith","Jane  Smith",$60.00,$60.00,Complete
000000263,"Main Website
   Madison Island
      English
","Jan 11, 2022 9:28:28 PM","John  Doe","John  Doe",$136.99,$136.99,Complete
000000291,"Main Website
   Madison Island
      English
","Jan 11, 2022 4:20:27 PM","Adam  Garcia","Adam  Garcia",$43.40,$43.40,Complete
000000233,"Main Website
   Madison Island
      English
","Jan 9, 2022 4:52:48 AM","Daniel  Jackson","Daniel  Jackson",$77.40,$77.40,Complete
000000260,"Main Website
   Madison Island
      English
","Jan 7, 2022 11:26:01 PM","John  Lee","John  Lee",$219.00,$219.00,Complete
